departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
6035,avellaneda,6,buenos aires,2018,9,dengue,9,de 35 a 44 anos,1
6035,avellaneda,6,buenos aires,2018,10,dengue,7,de 20 a 24 anos,1
6035,avellaneda,6,buenos aires,2018,10,dengue,11,mayores de 65 anos,1
6035,avellaneda,6,buenos aires,2018,11,dengue,6,de 15 a 19 anos,2
6035,avellaneda,6,buenos aires,2018,11,dengue,7,de 20 a 24 anos,1
6035,avellaneda,6,buenos aires,2018,11,dengue,9,de 35 a 44 anos,1
6035,avellaneda,6,buenos aires,2018,11,dengue,11,mayores de 65 anos,1
6035,avellaneda,6,buenos aires,2018,12,dengue,6,de 15 a 19 anos,1
6035,avellaneda,6,buenos aires,2018,12,dengue,10,de 45 a 65 anos,2
6035,avellaneda,6,buenos aires,2018,13,dengue,9,de 35 a 44 anos,2
6035,avellaneda,6,buenos aires,2018,13,dengue,10,de 45 a 65 anos,2
6035,avellaneda,6,buenos aires,2018,13,dengue,11,mayores de 65 anos,1
6035,avellaneda,6,buenos aires,2018,14,dengue,5,de 10 a 14 anos,1
6035,avellaneda,6,buenos aires,2018,14,dengue,6,de 15 a 19 anos,2
6035,avellaneda,6,buenos aires,2018,14,dengue,7,de 20 a 24 anos,1
6035,avellaneda,6,buenos aires,2018,14,dengue,9,de 35 a 44 anos,3
6035,avellaneda,6,buenos aires,2018,14,dengue,10,de 45 a 65 anos,1
6035,avellaneda,6,buenos aires,2018,14,dengue,11,mayores de 65 anos,2
6035,avellaneda,6,buenos aires,2018,15,dengue,5,de 10 a 14 anos,2
6035,avellaneda,6,buenos aires,2018,15,dengue,9,de 35 a 44 anos,3
6035,avellaneda,6,buenos aires,2018,15,dengue,11,mayores de 65 anos,1
6035,avellaneda,6,buenos aires,2018,16,dengue,6,de 15 a 19 anos,1
6035,avellaneda,6,buenos aires,2018,16,dengue,7,de 20 a 24 anos,2
6035,avellaneda,6,buenos aires,2018,16,dengue,9,de 35 a 44 anos,1
6035,avellaneda,6,buenos aires,2018,16,dengue,10,de 45 a 65 anos,2
6035,avellaneda,6,buenos aires,2018,17,dengue,4,de 5 a 9 anos,1
6035,avellaneda,6,buenos aires,2018,17,dengue,7,de 20 a 24 anos,3
