departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_id_uta_2020
general jose de san martin,66,salta,2022,13,dengue,10,de 45 a 65 anos,8,66056
general jose de san martin,66,salta,2022,14,dengue,10,de 45 a 65 anos,11,66056
general jose de san martin,66,salta,2022,15,dengue,10,de 45 a 65 anos,9,66056
general jose de san martin,66,salta,2022,16,dengue,10,de 45 a 65 anos,19,66056
general jose de san martin,66,salta,2022,17,dengue,10,de 45 a 65 anos,13,66056
general jose de san martin,66,salta,2022,18,dengue,10,de 45 a 65 anos,9,66056
general jose de san martin,66,salta,2022,19,dengue,10,de 45 a 65 anos,4,66056
general jose de san martin,66,salta,2022,20,dengue,10,de 45 a 65 anos,1,66056
general jose de san martin,66,salta,2022,21,dengue,10,de 45 a 65 anos,4,66056
general jose de san martin,66,salta,2022,22,dengue,10,de 45 a 65 anos,1,66056
general jose de san martin,66,salta,2022,5,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,8,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,10,dengue,11,mayores de 65 anos,2,66056
general jose de san martin,66,salta,2022,11,dengue,11,mayores de 65 anos,10,66056
general jose de san martin,66,salta,2022,12,dengue,11,mayores de 65 anos,4,66056
general jose de san martin,66,salta,2022,13,dengue,11,mayores de 65 anos,6,66056
general jose de san martin,66,salta,2022,14,dengue,11,mayores de 65 anos,10,66056
general jose de san martin,66,salta,2022,15,dengue,11,mayores de 65 anos,16,66056
general jose de san martin,66,salta,2022,16,dengue,11,mayores de 65 anos,14,66056
general jose de san martin,66,salta,2022,17,dengue,11,mayores de 65 anos,11,66056
general jose de san martin,66,salta,2022,18,dengue,11,mayores de 65 anos,12,66056
general jose de san martin,66,salta,2022,19,dengue,11,mayores de 65 anos,3,66056
general jose de san martin,66,salta,2022,20,dengue,11,mayores de 65 anos,1,66056
general jose de san martin,66,salta,2022,21,dengue,11,mayores de 65 anos,3,66056
