Nombre,Código UTA 2020,Latitud,Longitud,Provincia,Población INDEC,Hogares con agua de red pública,Hogares con desague de cloaca a red pública,Hogares con red de gas,Hogares con heladera,"Total de hogares para variable agua de red pública, gas y heladera",Total de hogares para variable cloaca a red pública,Hogares con tenencia irregular de terreno o vivienda,Cantidad total de viviendas,Hogares con déficit habitacional cuantitativo simple,Hogares con déficit habitacional cuantitativo compuesto,Viviendas irrecuperables,Hogares con Necesidades Básicas Insatisfechas,Hogares con hacinamiento crítico
cerrillos,66035,-24.95319832,-65.42243492,salta,35789.0,82.0,40.0,30.0,81.0,8505.0,8516.0,15.0,7549.0,11.0,20.0,817.0,23.0,11.0
presidente peron,6648,-34.9075871,-58.4348955,buenos aires,81141.0,64.0,1.0,80.0,93.0,21422.0,21426.0,15.0,20122.0,6.0,15.0,2090.0,19.0,9.0
alberti,6021,-35.237293243,-60.303031921,buenos aires,10654.0,78.0,74.0,65.0,96.0,3828.0,3835.0,8.0,3725.0,2.0,4.0,65.0,2.0,0.0
chacabuco,22028,-27.376891185,-60.858685319,chaco,30590.0,1.0,0.0,0.0,86.0,8494.0,8512.0,18.0,8003.0,5.0,11.0,450.0,15.0,5.0
lacar,58056,-40.200557709,-71.060089111,neuquen,29748.0,89.0,76.0,87.0,92.0,9155.0,9356.0,15.0,8590.0,6.0,10.0,376.0,8.0,3.0
florentino ameghino,26028,-44.338169098,-65.236175537,chubut,1627.0,76.0,0.0,15.0,81.0,479.0,496.0,9.0,460.0,3.0,4.0,3.0,8.0,1.0
tulumba,14175,-29.982391401,-64.490007826,cordoba,12673.0,72.0,0.0,0.0,83.0,4041.0,4054.0,12.0,3944.0,2.0,7.0,190.0,14.0,4.0
general angel vera penaloza,46056,-30.515722275,-66.864128113,la rioja,3073.0,79.0,10.0,0.0,80.0,867.0,871.0,7.0,855.0,1.0,6.0,46.0,15.0,3.0
rivadavia,66133,-22.49881,-62.40759,salta,30357.0,53.0,0.0,0.0,32.0,7154.0,7176.0,37.0,6659.0,6.0,48.0,2948.0,49.0,25.0
chalileo,42049,-36.63620803,-66.47691656,la pampa,2985.0,83.0,0.0,69.0,91.0,947.0,952.0,9.0,900.0,4.0,4.0,19.0,8.0,3.0
bolivar,6105,-36.002259,-60.623087,buenos aires,34190.0,89.0,69.0,46.0,95.0,12002.0,12039.0,8.0,11708.0,2.0,3.0,105.0,3.0,1.0
poman,10084,-28.33781745,-66.54987231,catamarca,10776.0,93.0,0.0,0.0,88.0,2746.0,2753.0,9.0,2657.0,3.0,7.0,105.0,11.0,5.0
santo tome,18168,-28.518781665,-56.055442891,corrientes,61297.0,87.0,53.0,0.0,87.0,16664.0,16697.0,14.0,15472.0,7.0,16.0,1543.0,14.0,4.0
tinogasta,10105,-27.092108466,-67.818961519,catamarca,22360.0,85.0,17.0,0.0,87.0,6066.0,6111.0,12.0,5818.0,4.0,6.0,118.0,10.0,3.0
valle fertil,70119,-30.804157736,-67.366234996,san juan,7222.0,84.0,0.0,0.0,85.0,1868.0,1884.0,16.0,1792.0,4.0,8.0,89.0,15.0,5.0
anelo,58014,-37.888034232,-68.514489997,neuquen,10786.0,83.0,43.0,49.0,85.0,2432.0,3251.0,13.0,3126.0,3.0,14.0,351.0,20.0,9.0
junin,74049,-32.31398017,-65.41102538,san luis,28933.0,94.0,2.0,32.0,93.0,9033.0,9107.0,10.0,8638.0,4.0,6.0,230.0,6.0,3.0
mitre,86112,-29.291571662,-63.034503114,santiago del estero,1890.0,12.0,0.0,0.0,72.0,536.0,536.0,24.0,521.0,2.0,62.0,322.0,22.0,5.0
tres de febrero,6840,-34.608872951,-58.563664457,buenos aires,340071.0,93.0,81.0,74.0,97.0,112588.0,112689.0,11.0,104154.0,7.0,9.0,1903.0,4.0,1.0
