departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
comuna 4,2,ciudad de buenos aires,2018,14,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,45
comuna 4,2,ciudad de buenos aires,2018,14,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,46
comuna 4,2,ciudad de buenos aires,2018,14,dengue,10,de 45 a 65 anos,3,comuna 4,ciudad de buenos aires,47
comuna 4,2,ciudad de buenos aires,2018,14,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,48
comuna 4,2,ciudad de buenos aires,2018,15,dengue,7,de 20 a 24 anos,1,comuna 4,ciudad de buenos aires,49
comuna 4,2,ciudad de buenos aires,2018,15,dengue,7,de 20 a 24 anos,2,comuna 4,ciudad de buenos aires,50
comuna 4,2,ciudad de buenos aires,2018,15,dengue,10,de 45 a 65 anos,1,comuna 4,ciudad de buenos aires,51
comuna 4,2,ciudad de buenos aires,2018,15,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,52
comuna 4,2,ciudad de buenos aires,2018,15,dengue,11,mayores de 65 anos,1,comuna 4,ciudad de buenos aires,53
comuna 4,2,ciudad de buenos aires,2018,16,dengue,2,de 13 a 24 meses,1,comuna 4,ciudad de buenos aires,54
comuna 4,2,ciudad de buenos aires,2018,16,dengue,5,de 10 a 14 anos,3,comuna 4,ciudad de buenos aires,55
comuna 4,2,ciudad de buenos aires,2018,16,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,56
comuna 4,2,ciudad de buenos aires,2018,16,dengue,7,de 20 a 24 anos,2,comuna 4,ciudad de buenos aires,57
comuna 4,2,ciudad de buenos aires,2018,16,dengue,8,de 25 a 34 anos,1,comuna 4,ciudad de buenos aires,58
comuna 4,2,ciudad de buenos aires,2018,16,dengue,10,de 45 a 65 anos,2,comuna 4,ciudad de buenos aires,59
