departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020
comuna 4,2,ciudad de buenos aires,2018,18,dengue,8,de 25 a 34 anos,3,comuna 4,ciudad de buenos aires,68,2004
comuna 4,2,ciudad de buenos aires,2018,18,dengue,9,de 35 a 44 anos,2,comuna 4,ciudad de buenos aires,69,2004
comuna 4,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,4,comuna 4,ciudad de buenos aires,70,2004
comuna 4,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,2,comuna 4,ciudad de buenos aires,71,2004
comuna 4,2,ciudad de buenos aires,2018,19,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,72,2004
comuna 4,2,ciudad de buenos aires,2018,19,dengue,8,de 25 a 34 anos,1,comuna 4,ciudad de buenos aires,73,2004
comuna 4,2,ciudad de buenos aires,2018,19,dengue,10,de 45 a 65 anos,2,comuna 4,ciudad de buenos aires,74,2004
comuna 4,2,ciudad de buenos aires,2018,21,dengue,11,mayores de 65 anos,2,comuna 4,ciudad de buenos aires,75,2004
comuna 4,2,ciudad de buenos aires,2018,24,dengue,6,de 15 a 19 anos,1,comuna 4,ciudad de buenos aires,76,2004
comuna 5,2,ciudad de buenos aires,2018,11,dengue,10,de 45 a 65 anos,1,comuna 5,ciudad de buenos aires,77,2005
comuna 5,2,ciudad de buenos aires,2018,23,dengue,8,de 25 a 34 anos,1,comuna 5,ciudad de buenos aires,78,2005
comuna 6,2,ciudad de buenos aires,2018,13,dengue,11,mayores de 65 anos,1,comuna 6,ciudad de buenos aires,79,2006
comuna 6,2,ciudad de buenos aires,2018,19,dengue,10,de 45 a 65 anos,1,comuna 6,ciudad de buenos aires,80,2006
comuna 7,2,ciudad de buenos aires,2018,17,dengue,9,de 35 a 44 anos,1,comuna 7,ciudad de buenos aires,81,2007
comuna 7,2,ciudad de buenos aires,2018,18,dengue,9,de 35 a 44 anos,1,comuna 7,ciudad de buenos aires,82,2007
comuna 7,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,1,comuna 7,ciudad de buenos aires,83,2007
comuna 8,2,ciudad de buenos aires,2018,12,dengue,1,posneonato 29 hasta 365 dias,1,comuna 8,ciudad de buenos aires,84,2008
comuna 8,2,ciudad de buenos aires,2018,15,dengue,10,de 45 a 65 anos,1,comuna 8,ciudad de buenos aires,85,2008
comuna 8,2,ciudad de buenos aires,2018,18,dengue,6,de 15 a 19 anos,1,comuna 8,ciudad de buenos aires,86,2008
comuna 8,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,1,comuna 8,ciudad de buenos aires,87,2008
comuna 8,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,1,comuna 8,ciudad de buenos aires,88,2008
comuna 8,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,1,comuna 8,ciudad de buenos aires,89,2008
comuna 8,2,ciudad de buenos aires,2018,19,dengue,4,de 5 a 9 anos,1,comuna 8,ciudad de buenos aires,90,2008
comuna 9,2,ciudad de buenos aires,2018,5,dengue,7,de 20 a 24 anos,1,comuna 9,ciudad de buenos aires,91,2009
comuna 9,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,1,comuna 9,ciudad de buenos aires,92,2009
comuna 9,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,1,comuna 9,ciudad de buenos aires,93,2009
comuna 10,2,ciudad de buenos aires,2018,16,dengue,4,de 5 a 9 anos,1,comuna 10,ciudad de buenos aires,94,2010
comuna 10,2,ciudad de buenos aires,2018,18,dengue,5,de 10 a 14 anos,1,comuna 10,ciudad de buenos aires,95,2010
comuna 10,2,ciudad de buenos aires,2018,18,dengue,6,de 15 a 19 anos,1,comuna 10,ciudad de buenos aires,96,2010
comuna 12,2,ciudad de buenos aires,2018,11,dengue,7,de 20 a 24 anos,1,comuna 12,ciudad de buenos aires,97,2012
comuna 12,2,ciudad de buenos aires,2018,11,dengue,11,mayores de 65 anos,1,comuna 12,ciudad de buenos aires,98,2012
comuna 12,2,ciudad de buenos aires,2018,13,dengue,11,mayores de 65 anos,1,comuna 12,ciudad de buenos aires,99,2012
comuna 12,2,ciudad de buenos aires,2018,17,dengue,11,mayores de 65 anos,1,comuna 12,ciudad de buenos aires,100,2012
comuna 12,2,ciudad de buenos aires,2018,19,dengue,9,de 35 a 44 anos,1,comuna 12,ciudad de buenos aires,101,2012
comuna 14,2,ciudad de buenos aires,2018,38,dengue,9,de 35 a 44 anos,1,comuna 14,ciudad de buenos aires,102,2014
comuna 15,2,ciudad de buenos aires,2018,9,dengue,10,de 45 a 65 anos,1,comuna 15,ciudad de buenos aires,103,2015
comuna 15,2,ciudad de buenos aires,2018,12,dengue,11,mayores de 65 anos,1,comuna 15,ciudad de buenos aires,104,2015
comuna 15,2,ciudad de buenos aires,2018,15,dengue,11,mayores de 65 anos,1,comuna 15,ciudad de buenos aires,105,2015
comuna 15,2,ciudad de buenos aires,2018,16,dengue,9,de 35 a 44 anos,1,comuna 15,ciudad de buenos aires,106,2015
comuna 15,2,ciudad de buenos aires,2018,17,dengue,11,mayores de 65 anos,1,comuna 15,ciudad de buenos aires,107,2015
