departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
25 de mayo,22,misiones,2023,20,dengue,10,de 45 a 65 anos,1,25 de mayo,chaco,11256,54119,29131
san cristobal,82,santa fe,2023,20,dengue,11,mayores de 65 anos,1,san cristobal,santa fe,11257,82091,79273
san martin,86,corrientes,2023,20,dengue,10,de 45 a 65 anos,1,san martin,santiago del estero,11258,18147,15478
9 de julio,22,santa fe,2023,20,dengue,10,de 45 a 65 anos,5,9 de julio,chaco,11259,82077,34502
12 de octubre,22,chaco,2023,20,dengue,10,de 45 a 65 anos,2,12 de octubre,chaco,11260,22036,27285
25 de mayo,22,misiones,2023,20,dengue,11,mayores de 65 anos,1,25 de mayo,chaco,11261,54119,29131
cruz del eje,14,cordoba,2023,20,dengue,10,de 45 a 65 anos,1,cruz del eje,cordoba,11262,14028,71615
moreno,86,buenos aires,2023,20,dengue,11,mayores de 65 anos,1,moreno,santiago del estero,11263,6560,566103
general jose de san martin,66,salta,2023,20,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,11264,66056,191852
san justo,14,cordoba,2023,20,dengue,10,de 45 a 65 anos,2,san justo,cordoba,11265,14140,234432
tres de febrero,6,buenos aires,2023,20,dengue,2,de 13 a 24 meses,1,tres de febrero,buenos aires,11266,6840,344221
burruyacu,90,tucuman,2023,20,dengue,8,de 25 a 34 anos,3,burruyacu,tucuman,11267,90007,47306
fray justo santa maria de oro,22,chaco,2023,20,dengue,6,de 15 a 19 anos,3,fray justo santa maria de oro,chaco,11268,22043,14992
avellaneda,6,rio negro,2023,20,dengue,8,de 25 a 34 anos,2,avellaneda,buenos aires,11270,62014,41608
san cristobal,82,santa fe,2023,20,dengue,7,de 20 a 24 anos,1,san cristobal,santa fe,11271,82091,79273
tucuman capital,90,tucuman,2023,20,dengue,2,de 13 a 24 meses,1,tucuman capital,tucuman,11272,90084,617384
rio segundo,14,cordoba,2023,20,dengue,11,mayores de 65 anos,1,rio segundo,cordoba,11273,14119,119514
general pedernera,74,san luis,2023,20,dengue,11,mayores de 65 anos,1,general pedernera,san luis,11274,74035,150152
rosario,82,santa fe,2023,20,dengue,5,de 10 a 14 anos,2,rosario,santa fe,11276,82084,1310461
bahia blanca,6,buenos aires,2023,20,dengue,9,de 35 a 44 anos,1,bahia blanca,buenos aires,11277,6056,311704
tafi viejo,90,tucuman,2023,20,dengue,9,de 35 a 44 anos,21,tafi viejo,tucuman,11278,90105,157352
