departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
22063,general guemes,22,chaco,2019,20,dengue,9,de 35 a 44 anos,4
22063,general guemes,22,chaco,2019,21,dengue,9,de 35 a 44 anos,3
22063,general guemes,22,chaco,2019,22,dengue,9,de 35 a 44 anos,1
22063,general guemes,22,chaco,2019,12,dengue,10,de 45 a 65 anos,1
22063,general guemes,22,chaco,2019,18,dengue,10,de 45 a 65 anos,2
22063,general guemes,22,chaco,2019,19,dengue,10,de 45 a 65 anos,5
22063,general guemes,22,chaco,2019,20,dengue,10,de 45 a 65 anos,5
22063,general guemes,22,chaco,2019,21,dengue,10,de 45 a 65 anos,6
22063,general guemes,22,chaco,2019,22,dengue,10,de 45 a 65 anos,1
22063,general guemes,22,chaco,2019,19,dengue,4,de 5 a 9 anos,2
22063,general guemes,22,chaco,2019,20,dengue,4,de 5 a 9 anos,4
22063,general guemes,22,chaco,2019,20,dengue,11,mayores de 65 anos,2
22084,libertador general san martin,22,chaco,2019,36,dengue,3,de 2 a 4 anos,1
22098,mayor luis j fontana,22,chaco,2019,48,dengue,4,de 5 a 9 anos,1
22140,san fernando,22,chaco,2019,11,dengue,5,de 10 a 14 anos,1
22140,san fernando,22,chaco,2019,26,dengue,5,de 10 a 14 anos,1
22140,san fernando,22,chaco,2019,19,dengue,7,de 20 a 24 anos,1
22140,san fernando,22,chaco,2019,27,dengue,7,de 20 a 24 anos,1
22140,san fernando,22,chaco,2019,13,dengue,8,de 25 a 34 anos,1
22140,san fernando,22,chaco,2019,18,dengue,8,de 25 a 34 anos,1
22140,san fernando,22,chaco,2019,19,dengue,8,de 25 a 34 anos,1
22140,san fernando,22,chaco,2019,26,dengue,8,de 25 a 34 anos,1
22140,san fernando,22,chaco,2019,21,dengue,9,de 35 a 44 anos,1
22140,san fernando,22,chaco,2019,10,dengue,10,de 45 a 65 anos,1
22140,san fernando,22,chaco,2019,11,dengue,10,de 45 a 65 anos,1
22140,san fernando,22,chaco,2019,8,dengue,11,mayores de 65 anos,1
22154,sargento cabral,22,chaco,2019,15,dengue,10,de 45 a 65 anos,1
34007,bermejo,34,formosa,2019,1,dengue,8,de 25 a 34 anos,1
34028,matacos,34,formosa,2019,14,dengue,6,de 15 a 19 anos,1
34028,matacos,34,formosa,2019,3,dengue,7,de 20 a 24 anos,1
34028,matacos,34,formosa,2019,2,dengue,8,de 25 a 34 anos,1
34028,matacos,34,formosa,2019,3,dengue,8,de 25 a 34 anos,1
34028,matacos,34,formosa,2019,2,dengue,9,de 35 a 44 anos,2
34028,matacos,34,formosa,2019,3,dengue,9,de 35 a 44 anos,2
34028,matacos,34,formosa,2019,2,dengue,10,de 45 a 65 anos,1
34028,matacos,34,formosa,2019,3,dengue,10,de 45 a 65 anos,1
34028,matacos,34,formosa,2019,1,dengue,11,mayores de 65 anos,1
34028,matacos,34,formosa,2019,3,dengue,11,mayores de 65 anos,1
34056,pirane,34,formosa,2019,3,dengue,8,de 25 a 34 anos,1
6091,berazategui,38,jujuy,2019,12,dengue,10,de 45 a 65 anos,1
38007,cochinoca,38,jujuy,2019,20,dengue,11,mayores de 65 anos,1
38035,ledesma,38,jujuy,2019,7,dengue,5,de 10 a 14 anos,1
38035,ledesma,38,jujuy,2019,10,dengue,5,de 10 a 14 anos,1
38035,ledesma,38,jujuy,2019,13,dengue,5,de 10 a 14 anos,2
38035,ledesma,38,jujuy,2019,14,dengue,5,de 10 a 14 anos,8
38035,ledesma,38,jujuy,2019,15,dengue,5,de 10 a 14 anos,3
38035,ledesma,38,jujuy,2019,16,dengue,5,de 10 a 14 anos,3
38035,ledesma,38,jujuy,2019,17,dengue,5,de 10 a 14 anos,6
38035,ledesma,38,jujuy,2019,18,dengue,5,de 10 a 14 anos,4
38035,ledesma,38,jujuy,2019,19,dengue,5,de 10 a 14 anos,11
38035,ledesma,38,jujuy,2019,20,dengue,5,de 10 a 14 anos,6
38035,ledesma,38,jujuy,2019,21,dengue,5,de 10 a 14 anos,5
38035,ledesma,38,jujuy,2019,11,dengue,6,de 15 a 19 anos,1
38035,ledesma,38,jujuy,2019,13,dengue,6,de 15 a 19 anos,2
38035,ledesma,38,jujuy,2019,14,dengue,6,de 15 a 19 anos,2
38035,ledesma,38,jujuy,2019,15,dengue,6,de 15 a 19 anos,4
38035,ledesma,38,jujuy,2019,16,dengue,6,de 15 a 19 anos,6
38035,ledesma,38,jujuy,2019,17,dengue,6,de 15 a 19 anos,8
38035,ledesma,38,jujuy,2019,18,dengue,6,de 15 a 19 anos,7
38035,ledesma,38,jujuy,2019,19,dengue,6,de 15 a 19 anos,16
38035,ledesma,38,jujuy,2019,20,dengue,6,de 15 a 19 anos,12
38035,ledesma,38,jujuy,2019,21,dengue,6,de 15 a 19 anos,5
38035,ledesma,38,jujuy,2019,23,dengue,6,de 15 a 19 anos,2
38035,ledesma,38,jujuy,2019,25,dengue,6,de 15 a 19 anos,1
38035,ledesma,38,jujuy,2019,14,dengue,3,de 2 a 4 anos,3
38035,ledesma,38,jujuy,2019,17,dengue,3,de 2 a 4 anos,2
38035,ledesma,38,jujuy,2019,18,dengue,3,de 2 a 4 anos,2
38035,ledesma,38,jujuy,2019,20,dengue,3,de 2 a 4 anos,1
38035,ledesma,38,jujuy,2019,21,dengue,3,de 2 a 4 anos,1
38035,ledesma,38,jujuy,2019,23,dengue,3,de 2 a 4 anos,1
38035,ledesma,38,jujuy,2019,11,dengue,7,de 20 a 24 anos,1
38035,ledesma,38,jujuy,2019,13,dengue,7,de 20 a 24 anos,1
38035,ledesma,38,jujuy,2019,15,dengue,7,de 20 a 24 anos,6
